upi_length,entropy,num_digits,seen_before,report_count,amount_ratio,first_time_user,label
13,1.0,0,1,0,0.814,1,0
17,0.8949,3,0,1,19.921,1,1
11,0.8277,0,0,0,1.561,1,0
19,0.8949,8,0,3,6.813,0,1
14,0.9167,3,1,0,1.043,0,0
22,0.9688,5,1,0,1.0526,0,0
23,0.925,5,0,6,5.149,1,1
24,0.875,5,0,1,2.253,1,1
20,0.8949,8,0,2,4.273,1,1
19,0.9474,8,0,0,5.247,1,1
15,1.0,3,1,0,0.499,1,0
16,0.9474,8,0,1,7.964,1,1
20,0.8423,8,0,5,4.354,1,1
16,0.9167,3,0,0,1.219,0,0
16,0.8949,8,0,4,1.203,1,1
16,0.875,8,0,5,1.0,1,1
26,0.9712,5,0,1,1.663,1,1
9,0.8277,0,1,0,1.137,0,0
20,0.9659,4,0,2,9.591,1,1
21,0.9375,5,0,1,5.292,1,1
16,0.7501,8,0,2,9.151,1,1
26,0.9467,5,0,4,6.077,1,1
8,1.0,0,1,0,0.732,0,0
18,0.8949,8,0,2,1.392,1,1
19,0.875,8,1,4,4.807,0,1
23,0.9467,5,0,6,1.555,1,1
13,0.9167,3,0,0,2.28,0,0
17,0.9474,2,0,2,2.827,0,1
18,0.9398,4,0,3,9.15,0,1
23,0.7831,5,1,0,1.1393,0,0
24,0.9062,6,1,3,5.853,1,1
16,1.0,0,1,1,1.236,0,0
15,1.0,3,1,0,0.877,0,0
13,0.9299,3,1,0,1.043,0,0
24,0.9137,5,0,0,2.398,1,1
16,0.8949,8,0,1,4.107,1,1
9,1.0,0,0,0,1.091,0,0
12,1.0,3,0,0,0.731,0,0
12,0.9167,3,1,0,1.608,0,0
21,0.9625,5,1,0,0.7271,0,0
20,0.8949,8,0,3,5.363,1,1
33,0.8636,0,0,40,17.8387,1,1
24,0.8849,5,1,0,0.656,0,0
15,0.8982,0,0,1,0.927,0,0
20,1.0,3,1,0,0.925,0,0
13,0.8982,0,1,0,0.746,0,0
17,0.8225,8,1,3,3.47,1,1
12,1.0,3,1,0,0.646,0,0
11,1.0,0,1,0,1.028,0,0
15,0.9398,3,0,0,1.331,0,0
12,1.0,3,1,0,1.052,1,0
20,0.925,5,1,0,1.8949,0,0
9,1.0,0,0,0,1.017,1,0
11,0.8982,2,1,0,0.624,0,0
16,0.9474,3,0,4,10.634,1,1
13,0.9299,3,1,0,0.781,0,0
19,1.0,3,1,0,0.942,0,0
16,0.9474,8,0,2,1.6,0,1
20,0.9625,5,1,0,0.4635,0,0
16,0.7372,8,0,3,3.178,1,1
8,1.0,0,0,0,2.185,0,0
12,0.9167,3,1,0,1.021,1,0
14,0.8796,3,1,0,0.595,1,0
16,1.0,3,1,0,0.889,0,0
16,0.8225,8,1,2,5.584,1,1
15,0.8569,2,1,2,6.727,0,1
9,0.8277,0,1,1,0.698,0,0
23,0.842,5,1,0,1.017,0,0
11,1.0,0,1,0,1.004,1,0
20,0.875,8,0,3,1.553,1,1
13,1.0,3,0,0,0.837,0,0
13,1.0,3,1,1,0.801,1,0
11,0.8982,0,0,0,1.048,0,0
14,1.0,3,1,0,1.699,1,0
26,0.9137,3,0,3,4.599,1,1
9,1.0,0,1,0,1.406,0,0
14,0.9167,3,0,0,1.82,0,0
20,0.9299,2,1,0,1.009,0,0
16,1.0,3,0,0,1.28,1,0
11,1.0,3,1,0,1.167,1,0
15,0.9299,3,1,0,0.753,0,0
13,0.8982,3,0,0,1.194,0,0
23,0.9375,5,1,0,0.4275,0,0
22,0.9168,7,0,2,3.747,1,1
11,1.0,0,1,0,1.385,0,0
18,0.8949,8,0,3,1.547,1,1
11,1.0,0,1,0,0.809,1,0
25,0.8078,5,0,0,1.811,0,0
31,0.848,4,0,40,7.627,1,1
15,0.8796,3,1,0,0.906,0,0
13,1.0,3,1,0,1.183,0,0
17,0.8423,8,0,0,4.319,1,1
20,0.9584,3,0,3,6.743,1,1
16,0.8225,8,0,4,2.082,1,1
15,1.0,3,1,0,0.823,1,0
11,1.0,2,0,0,1.199,0,0
18,0.875,8,0,3,3.76,1,1
12,0.871,0,1,0,1.098,1,0
14,0.9167,3,1,0,1.635,0,0
35,0.842,1,0,50,12.899,1,1
20,0.8976,3,0,0,9.878,1,1
10,0.8277,0,0,0,1.25,0,0
9,1.0,0,1,0,1.242,1,0
13,0.9299,3,1,0,1.309,0,0
26,0.9201,3,1,3,1.356,0,1
12,0.8277,0,0,0,1.034,1,0
16,0.8949,8,0,1,1.941,1,1
20,0.9474,8,0,4,5.812,1,1
8,1.0,0,1,0,0.607,0,0
15,0.9299,3,1,0,1.858,0,0
17,0.8796,1,0,2,0.859,1,1
21,0.9375,3,1,1,8.697,1,1
24,0.9062,1,0,2,4.219,0,1
13,1.0,3,1,0,1.053,0,0
20,0.9474,8,1,1,11.965,1,1
14,0.8796,3,1,0,0.77,0,0
24,0.8834,4,0,3,2.738,1,1
9,0.8277,0,0,0,1.05,0,0
22,0.9375,5,0,0,0.876,0,0
11,1.0,0,0,0,1.24,0,0
10,0.8277,0,0,0,0.239,0,0
20,0.8949,8,1,3,4.973,0,1
20,0.8423,8,1,2,5.503,1,1
11,1.0,0,1,0,1.034,0,0
12,1.0,3,1,0,1.021,1,0
22,0.8135,5,1,0,0.639,0,0
33,0.811,2,0,20,10.1791,1,1
16,0.8949,8,0,4,6.784,1,1
11,1.0,3,1,0,0.49,1,0
13,0.9299,3,1,0,1.091,0,0
9,1.0,0,1,0,0.426,0,0
18,0.9474,8,0,4,6.225,1,1
19,0.8225,8,0,2,2.175,0,1
12,0.871,0,1,1,1.011,0,0
11,1.0,0,1,0,0.68,1,0
17,0.871,0,1,0,0.59,0,0
20,0.8733,5,1,0,0.983,0,0
10,1.0,0,1,1,1.021,0,0
19,0.9167,3,1,0,1.809,0,0
22,0.9137,6,0,4,2.962,1,1
19,0.9167,3,0,0,0.795,1,0
16,0.8949,8,0,4,10.082,0,1
10,0.871,0,1,0,0.683,1,0
13,0.8982,0,0,0,0.928,0,0
19,1.0,3,1,0,2.103,0,0
12,1.0,3,0,0,0.783,1,0
20,0.8423,8,0,4,7.735,0,1
15,0.9299,3,1,0,0.718,1,0
12,0.9167,3,1,0,1.2,0,0
20,0.8949,8,0,2,15.914,1,1
10,1.0,0,1,0,0.768,0,0
19,0.9474,8,0,3,2.266,1,1
20,0.8949,8,0,6,2.471,1,1
11,0.8277,0,1,0,1.331,1,0
14,0.8333,3,1,0,1.032,1,0
11,1.0,0,0,0,1.008,1,0
17,0.8949,8,0,3,18.98,1,1
23,0.8668,2,0,2,0.844,1,1
21,0.8874,7,0,2,4.276,1,1
23,0.842,5,1,0,1.2893,0,0
14,0.9299,3,1,0,0.805,0,0
23,0.9734,6,0,0,8.903,0,1
13,1.0,3,1,0,1.407,0,0
17,0.9474,8,0,4,2.42,1,1
9,1.0,0,1,0,0.525,0,0
17,1.0,0,1,0,0.976,1,0
12,1.0,0,0,0,0.931,0,0
13,0.9299,3,0,0,1.952,0,0
8,1.0,0,1,0,1.783,0,0
13,1.0,3,1,0,1.728,1,0
18,0.8949,8,0,0,2.977,0,1
24,0.9424,5,0,5,4.062,1,1
14,0.9167,3,1,0,2.306,0,0
15,1.0,3,1,0,1.9933,0,0
14,0.9167,3,1,0,1.896,1,0
23,0.8976,2,0,1,1.839,1,1
17,0.8605,3,1,6,1.365,1,1
18,0.8982,0,0,0,0.877,0,0
19,0.8753,4,0,1,1.959,1,1
12,0.8333,3,1,0,0.87,0,0
20,0.7699,8,0,4,17.621,1,1
27,0.8524,5,1,0,1.161,1,0
18,0.9398,3,1,0,2.239,0,0
14,1.0,3,1,0,0.732,1,0
21,0.7889,5,0,7,6.377,1,1
13,0.8982,0,1,1,1.137,0,0
16,0.8949,3,1,1,4.537,0,1
12,1.0,3,1,0,0.636,1,0
11,0.8982,0,1,0,0.813,0,0
16,0.8225,8,0,2,7.918,1,1
19,0.8225,8,0,0,6.417,1,1
10,0.871,0,1,0,0.997,0,0
11,1.0,0,1,0,1.085,0,0
22,0.9317,5,0,0,1.986,0,0
24,0.91,4,0,2,1.444,1,1
21,0.9137,5,1,0,1.84,1,0
13,1.0,3,1,0,0.751,1,0
13,1.0,0,1,0,0.706,0,0
17,0.8796,3,1,1,2.751,1,0
9,0.8277,0,1,0,0.993,0,0
23,0.9317,3,1,3,0.458,0,1
13,1.0,3,1,0,0.538,0,0
10,1.0,0,1,0,1.881,0,0
18,0.9474,8,0,1,0.875,1,1
16,0.8423,8,0,0,4.569,1,1
15,0.9398,3,0,0,0.768,0,0
19,1.0,5,0,4,5.377,1,1
16,0.8949,2,1,2,1.859,1,1
13,1.0,0,1,0,0.937,1,0
23,0.9317,2,1,0,5.467,1,1
18,0.9398,5,1,3,3.394,1,1
20,0.925,5,0,3,1.849,1,1
23,0.8164,5,1,0,1.096,0,0
19,0.9584,4,0,5,6.643,1,1
13,1.0,2,1,1,1.257,1,0
12,0.9167,3,0,0,0.784,1,0
12,0.9167,3,1,0,0.811,0,0
16,0.875,8,0,1,0.508,1,1
16,0.9398,3,1,0,0.707,0,0
12,1.0,2,1,0,1.059,0,0
19,0.8949,8,1,2,1.604,1,1
23,0.9062,3,0,2,1.094,1,1
20,0.8949,8,0,2,3.571,1,1
31,0.8851,4,0,39,7.7816,1,1
24,0.8834,3,0,3,6.559,1,1
26,0.9201,3,0,3,2.991,1,1
9,1.0,0,1,0,0.506,0,0
16,0.8225,8,0,5,2.685,1,1
11,0.8277,0,1,0,1.561,0,0
16,1.0,0,1,0,0.382,0,0
11,0.8982,3,1,0,1.534,0,0
19,0.9167,3,0,0,1.224,0,0
16,0.6975,8,0,3,4.373,1,1
19,0.9167,3,1,0,0.748,0,0
19,0.925,3,0,0,0.934,1,1
9,1.0,0,1,1,1.487,1,0
16,0.8949,8,0,1,5.617,0,1
30,0.8854,4,0,11,1.472,1,1
12,1.0,3,1,0,1.229,0,0
20,0.925,5,0,0,0.744,0,0
18,0.9584,6,1,4,1.704,1,1
11,1.0,3,1,0,0.794,0,0
11,1.0,0,1,0,1.555,0,0
18,0.9584,6,0,2,3.557,0,1
17,1.0,8,0,2,18.529,1,1
18,0.875,8,0,3,2.204,0,1
15,1.0,3,1,0,0.784,0,0
16,0.8796,3,0,0,0.733,1,0
11,1.0,0,0,0,0.41,0,0
20,0.8423,8,0,0,4.978,0,1
17,1.0,0,0,0,1.248,0,0
18,0.925,5,1,0,0.443,0,0
18,0.9474,8,0,1,3.015,1,1
19,0.9625,2,1,5,5.455,1,1
22,0.8874,3,0,3,18.246,1,1
12,1.0,3,1,0,0.446,1,0
15,1.0,2,0,2,3.755,1,1
10,1.0,0,0,0,1.249,0,0
13,0.8982,3,1,0,0.935,0,0
21,0.8164,5,0,0,0.85,0,0
22,0.8401,5,1,0,1.331,1,0
21,0.9375,2,0,3,1.032,1,1
16,0.9474,8,0,3,7.81,1,1
12,0.9167,3,1,0,0.762,1,0
9,1.0,0,1,0,1.369,0,0
20,0.8949,3,0,6,4.143,1,1
14,1.0,3,1,1,0.761,1,0
14,1.0,0,1,0,0.829,1,0
11,1.0,0,1,2,1.429,1,0
12,0.9167,3,1,0,0.945,0,0
20,0.8949,8,0,5,1.977,1,1
13,0.8982,0,1,0,1.418,0,0
13,1.0,0,1,0,1.256,0,0
15,1.0,3,0,0,1.229,0,0
21,0.9168,4,0,5,4.736,1,1
17,0.9474,1,0,3,3.381,0,1
14,1.0,3,1,0,0.77,1,0
13,1.0,0,1,0,0.82,0,0
16,0.8423,8,0,4,3.566,1,1
19,0.925,3,1,4,6.14,1,1
22,0.9028,3,1,1,2.586,0,1
16,0.8225,8,1,3,6.75,0,1
16,0.9474,8,0,2,2.167,1,1
21,0.925,5,1,0,1.2403,0,0
9,1.0,0,1,0,0.95,0,0
16,0.875,8,0,2,5.462,1,1
19,0.907,2,0,4,13.314,1,1
22,0.8945,5,1,0,1.2225,0,0
18,0.9168,4,1,2,6.351,1,1
16,1.0,0,1,0,0.515,0,0
17,0.9535,2,0,4,7.86,1,1
19,0.9474,8,0,0,5.04,1,1
12,0.8982,0,1,0,0.756,1,0
13,0.9299,3,1,0,1.614,1,0
36,0.8031,4,0,16,18.6038,1,1
24,0.874,4,0,2,3.76,1,1
23,0.9375,5,1,0,0.9469,0,0
12,0.9167,3,1,0,0.876,1,0
12,0.9167,3,0,0,1.498,1,0
18,0.9398,3,1,0,0.909,1,0
11,0.758,3,1,0,1.21,1,0
10,0.871,0,1,0,0.831,0,0
22,0.8165,5,0,4,5.539,1,1
13,1.0,3,0,0,0.494,0,0
19,0.8949,3,0,5,3.279,0,1
16,0.875,8,0,2,2.18,1,1
21,0.8506,4,1,0,2.0426,0,0
16,0.8949,8,0,3,26.228,1,1
16,0.7501,8,0,0,6.606,1,1
15,0.9299,3,1,1,0.623,0,0
18,0.8423,8,0,3,1.797,1,1
22,0.8135,5,1,0,0.3972,0,0
16,0.8796,3,1,0,0.95,0,0
20,0.8949,8,0,2,6.481,1,1
16,0.9474,8,0,2,6.254,0,1
17,0.8423,8,0,3,2.219,1,1
11,0.8277,0,1,0,0.715,0,0
25,0.8667,5,1,0,1.071,0,0
16,0.9398,3,1,0,1.368,0,0
17,0.907,4,0,2,4.189,0,1
17,0.9299,2,1,0,1.307,0,0
16,0.8423,8,0,2,3.933,0,1
23,0.842,5,1,0,0.4368,0,0
14,1.0,3,1,0,0.598,1,0
8,1.0,0,1,0,1.122,0,0
10,1.0,0,0,0,0.861,0,0
23,0.7877,5,1,0,1.8325,0,0
15,0.9299,3,1,0,0.738,0,0
22,0.9375,5,1,0,1.8181,0,0
19,0.7982,7,0,2,4.008,0,1
20,0.8225,8,0,1,1.943,1,1
20,0.9625,5,1,0,1.5931,0,0
23,0.8849,5,1,0,0.3676,0,0
11,1.0,0,1,1,0.88,0,0
17,0.8949,8,0,1,5.297,0,1
17,0.8949,8,0,2,3.995,1,1
12,1.0,2,0,1,0.958,0,0
16,0.8949,8,0,1,1.609,1,1
18,0.8225,8,0,2,6.168,1,1
15,0.9299,3,0,0,0.568,0,0
18,0.7372,8,0,0,4.599,1,1
20,0.9299,3,1,0,1.308,0,0
9,1.0,0,1,0,0.551,0,0
24,0.8632,4,0,3,5.019,1,1
11,1.0,0,1,0,1.299,0,0
12,1.0,3,0,0,1.149,0,0
20,0.9189,4,0,2,8.185,1,1
20,0.8124,5,1,0,0.964,0,0
16,0.8225,8,0,2,2.068,1,1
18,0.8982,0,0,0,0.816,0,0
8,1.0,0,1,0,0.796,0,0
19,0.8225,8,0,3,2.084,1,1
22,0.8401,5,1,0,0.8969,0,0
14,0.8796,3,0,0,1.5,0,0
12,0.9167,3,1,1,0.469,0,0
11,0.871,0,1,0,0.711,1,0
12,0.9167,3,1,0,1.151,1,0
12,1.0,0,1,0,1.845,0,0
16,0.875,5,0,1,5.494,1,1
12,1.0,0,1,0,1.476,0,0
16,0.8949,8,0,4,3.533,1,1
16,0.8949,8,0,3,2.995,1,1
33,0.848,2,0,58,12.6593,1,1
13,0.9299,3,0,0,1.721,0,0
18,0.9584,6,0,1,5.095,1,1
8,1.0,0,1,0,1.117,0,0
21,0.8796,3,1,0,0.985,0,0
20,0.7699,8,0,3,3.041,1,1
14,1.0,3,1,0,2.139,0,0
20,0.9375,5,1,0,0.5963,0,0
12,1.0,3,1,0,0.443,0,0
18,0.9625,5,1,0,0.2338,0,0
19,0.8733,5,0,3,12.105,1,1
15,0.8598,3,1,0,1.329,1,0
8,1.0,0,1,0,0.667,0,0
17,1.0,3,1,0,0.927,0,0
17,0.9398,3,0,3,6.432,1,1
36,0.8473,3,0,17,15.9516,1,1
16,1.0,0,1,0,1.03,1,0
16,0.7501,8,0,2,5.7,1,1
8,1.0,0,1,0,1.366,0,0
13,1.0,3,1,0,0.963,0,0
12,1.0,0,1,0,1.744,0,0
18,0.9584,5,0,4,3.919,0,1
20,0.9584,2,0,6,1.354,1,1
15,0.8598,3,1,1,1.995,0,0
17,0.9474,8,0,0,1.512,0,1
17,1.0,3,1,0,0.865,0,0
16,1.0,0,1,0,1.364,0,0
22,0.9317,4,1,0,1.9636,0,0
15,1.0,0,1,0,0.735,1,0
23,0.7889,5,1,0,1.045,1,0
36,0.8436,4,0,49,19.4503,1,1
11,0.8982,0,1,0,1.411,0,0
14,0.9167,3,1,0,1.558,0,0
16,0.8225,8,0,1,7.119,1,1
10,1.0,0,0,0,0.613,0,0
12,1.0,3,1,0,0.783,1,0
19,0.925,3,0,2,4.555,1,1
37,0.829,3,0,34,10.348,1,1
11,0.8982,0,1,0,0.791,0,0
17,0.907,3,0,5,3.234,1,1
15,0.9299,3,1,0,0.663,0,0
20,0.8423,8,0,2,6.991,0,1
14,1.0,3,1,0,1.066,0,0
20,0.9474,8,1,1,7.333,0,1
33,0.848,1,0,57,19.0148,1,1
21,0.8452,5,1,0,0.424,0,0
23,0.9712,6,1,2,0.944,0,1
16,0.8796,2,0,2,2.762,1,1
16,0.8949,8,0,2,4.48,0,1
9,0.8277,0,1,0,1.619,1,0
19,0.925,6,1,3,5.055,1,1
16,0.9398,3,0,0,1.25,0,0
16,0.8949,8,1,1,12.071,1,1
8,1.0,0,1,0,1.472,0,0
26,0.842,5,1,0,1.459,0,0
13,0.871,0,1,0,0.799,0,0
19,0.9317,4,1,0,0.7779,0,0
20,0.8499,5,0,0,0.588,1,0
12,1.0,3,1,0,0.799,1,0
15,1.0,3,1,1,1.683,0,0
20,0.925,5,1,0,2.0877,0,0
8,1.0,0,1,0,0.973,0,0
22,0.8632,5,0,0,0.657,0,0
22,0.9424,8,0,4,2.814,0,1
11,0.8982,0,1,0,2.831,1,0
12,0.9167,3,1,0,0.613,0,0
9,1.0,0,1,1,0.776,0,0
13,0.8982,0,1,0,0.783,0,0
10,0.871,0,1,2,0.968,0,0
16,0.9167,3,1,0,1.605,0,0
13,1.0,3,1,0,0.724,0,0
22,0.9688,5,1,0,0.9267,0,0
9,0.8277,0,1,0,0.653,0,0
14,0.9398,3,1,0,2.11,1,0
18,0.7372,8,0,3,2.938,1,1
23,0.8945,5,0,3,5.801,1,1
11,1.0,3,1,0,0.942,0,0
18,0.8874,5,1,0,2.0841,0,0
9,1.0,0,1,0,1.183,0,0
13,0.8277,0,1,0,0.754,0,0
10,1.0,0,1,0,0.834,0,0
40,0.7738,1,0,46,8.542,1,1
35,0.855,0,0,46,8.602,0,1
14,0.871,0,0,0,1.23,0,0
17,0.8949,2,1,2,3.313,1,1
16,0.9299,3,1,0,0.889,0,0
19,0.7982,1,0,2,5.221,1,1
12,1.0,0,1,0,0.878,0,0
16,0.9474,8,0,1,2.902,1,1
17,0.8598,3,1,0,1.209,0,0
16,0.9167,3,1,0,0.697,0,0
17,0.9584,5,1,0,1.9931,0,0
16,1.0,0,1,0,0.613,0,0
20,0.9474,8,1,1,3.467,1,1
11,1.0,0,1,0,0.481,0,0
11,0.8982,0,0,0,0.511,0,0
16,0.8949,8,0,3,11.463,1,1
16,0.8423,8,1,1,7.402,1,1
15,1.0,3,0,2,1.894,1,1
17,0.9474,8,0,3,3.056,1,1
17,0.9474,8,0,0,6.195,1,1
20,0.9317,5,0,1,6.104,1,1
16,1.0,0,1,0,1.373,0,0
22,0.9659,5,1,2,9.256,1,1
20,0.9688,5,1,0,1.028,0,0
18,0.9474,8,0,3,3.712,0,1
16,0.8949,8,0,1,6.013,1,1
39,0.7116,2,0,55,9.2716,1,1
15,0.8598,2,0,1,1.35,0,0
16,0.8225,8,0,4,2.859,1,1
14,1.0,3,1,0,0.878,1,0
17,1.0,1,1,1,8.037,1,1
20,0.9062,5,1,0,0.872,1,0
23,0.7877,5,1,0,0.6502,0,0
15,1.0,3,0,0,1.143,0,0
21,0.875,3,0,4,2.019,0,1
9,1.0,0,1,0,1.108,0,0
17,0.7699,8,0,4,7.814,1,1
22,0.9584,7,0,3,3.323,0,1
10,1.0,0,1,0,1.398,0,0
18,0.8499,5,0,0,1.865,0,0
11,1.0,0,1,0,1.258,0,0
12,0.9167,3,0,0,1.091,0,0
19,0.9398,1,0,4,1.933,1,1
17,0.8423,8,0,2,4.261,1,1
13,0.8333,3,1,0,1.397,0,0
12,1.0,0,1,0,1.105,0,0
19,0.8225,8,1,6,7.198,1,1
11,0.8982,0,0,0,1.373,1,0
20,0.7372,8,0,4,9.891,1,1
9,0.8277,0,0,1,1.419,0,0
16,0.8949,8,0,3,2.685,1,1
21,0.9317,5,1,0,0.4164,0,0
19,0.9474,8,0,0,1.159,1,1
14,0.8982,0,1,1,1.355,0,0
22,0.9062,5,1,0,0.9811,0,0
9,0.8277,0,1,0,1.427,0,0
25,0.8667,5,1,0,1.4898,0,0
36,0.8216,3,0,22,3.487,1,1
16,0.875,5,0,1,5.172,1,1
12,1.0,0,1,0,1.338,0,0
12,1.0,3,0,1,0.654,0,0
14,0.9167,3,0,0,1.463,1,0
19,1.0,3,1,0,2.102,0,0
16,1.0,0,0,0,0.924,1,0
22,0.8945,5,1,0,0.6195,0,0
25,0.8632,4,0,6,2.672,1,1
16,0.9474,8,0,2,2.609,1,1
17,0.8225,8,1,3,8.569,1,1
27,0.7974,5,1,0,1.119,0,0
12,1.0,0,1,0,0.957,0,0
14,1.0,3,0,0,1.519,1,0
9,0.8277,0,1,0,1.328,0,0
9,1.0,0,1,0,0.746,0,0
19,0.8949,8,0,2,6.326,1,1
19,1.0,3,1,0,2.04,0,0
17,0.8598,3,0,0,1.311,0,0
18,0.8949,8,1,3,7.365,1,1
17,1.0,3,1,1,1.266,0,0
23,0.7877,5,1,0,1.338,1,0
13,0.8982,0,0,0,1.198,0,0
16,0.8225,8,0,2,1.766,1,1
8,1.0,0,1,0,1.481,1,0
16,0.8225,8,1,1,7.21,1,1
13,1.0,3,1,0,1.57,0,0
9,1.0,0,1,0,1.487,0,0
23,0.8567,4,0,4,2.45,1,1
18,0.9168,5,0,2,2.811,1,1
20,0.7607,5,1,0,0.783,1,0
9,1.0,0,1,0,1.506,1,0
16,0.7699,8,0,3,10.512,1,1
16,0.7501,8,0,4,7.212,0,1
36,0.8623,5,0,57,4.725,1,1
36,0.8267,4,0,54,17.1853,1,1
11,1.0,3,1,0,0.995,0,0
27,0.8567,7,0,0,14.052,1,1
20,0.8733,5,1,0,1.379,0,0
10,1.0,0,0,0,0.465,1,0
15,1.0,3,1,0,1.226,1,0
17,0.871,0,1,0,1.395,0,0
17,0.871,0,1,0,0.755,1,0
9,1.0,0,1,0,0.527,0,0
9,1.0,0,0,0,1.282,1,0
9,0.8277,0,1,1,1.177,1,0
19,1.0,3,0,0,1.294,0,0
22,0.9375,5,1,0,1.4477,0,0
17,0.871,0,1,0,1.417,0,0
16,0.8949,8,0,3,7.073,1,1
19,1.0,3,0,0,0.595,0,0
21,0.9062,7,0,1,3.839,1,1
14,0.9167,3,0,0,1.143,0,0
25,0.842,5,1,0,1.127,1,0
16,0.875,8,0,1,8.385,1,1
16,0.8949,4,1,3,7.814,1,1
21,0.875,4,0,1,3.163,1,1
10,0.871,0,1,1,0.935,1,0
24,0.8668,5,1,0,0.897,1,0
19,0.9167,3,0,0,0.662,1,0
11,1.0,0,0,0,1.683,0,0
12,0.9167,3,0,0,0.416,0,0
14,1.0,3,1,0,1.272,0,0
22,0.9317,3,0,2,6.974,0,1
11,0.8982,0,1,0,1.08,0,0
23,0.9375,5,1,0,1.3,0,0
17,0.8225,8,0,3,3.587,1,1
17,0.9398,2,0,2,5.508,0,1
11,1.0,0,1,0,1.118,0,0
36,0.8436,4,0,49,6.197,1,1
8,1.0,0,0,0,1.729,0,0
13,0.9299,3,1,0,0.474,1,0
24,0.7889,3,0,2,2.183,1,1
20,0.9375,5,1,0,1.504,0,0
18,0.8874,5,1,0,1.025,0,0
10,1.0,0,0,0,1.057,0,0
16,0.8423,8,0,2,1.668,1,1
12,1.0,3,1,0,1.57,0,0
16,0.8423,8,0,2,3.404,1,1
17,0.8225,8,0,4,2.427,1,1
8,1.0,0,1,0,1.173,0,0
26,0.8164,1,0,2,2.707,1,1
16,0.8423,8,0,2,3.803,1,1
11,0.871,0,1,0,0.939,0,0
9,0.8277,0,1,0,0.624,0,0
10,1.0,0,1,0,1.505,0,0
10,1.0,0,1,1,1.886,0,0
11,0.8277,0,1,0,1.322,0,0
19,0.8949,8,0,0,5.597,1,1
16,0.7898,8,0,3,2.869,1,1
16,0.8949,8,0,3,2.576,0,1
12,0.9167,3,0,0,1.612,0,0
20,0.8423,8,0,1,5.21,1,1
14,1.0,3,1,0,0.61,1,0
20,1.0,3,1,3,2.812,1,1
16,0.9398,3,1,0,0.822,0,0
10,0.871,0,1,0,0.649,1,0
16,0.9474,1,0,2,5.822,1,1
21,0.925,3,0,3,9.007,1,1
16,0.8949,8,0,2,2.158,0,1
15,0.9167,3,0,0,0.804,0,0
15,1.0,3,1,0,0.702,0,0
19,0.9474,8,0,2,15.249,1,1
19,1.0,5,0,3,8.303,1,1
12,0.9167,3,1,1,0.747,0,0
16,1.0,0,1,0,0.322,0,0
18,0.8569,1,0,2,5.074,0,1
11,1.0,0,0,0,0.598,1,0
16,1.0,8,0,1,12.333,1,1
16,0.8949,8,0,2,14.816,1,1
19,0.7699,8,0,2,5.878,1,1
36,0.808,2,0,16,3.184,1,1
11,0.8982,0,1,0,1.361,0,0
19,0.9167,3,0,0,1.208,0,0
10,0.871,0,1,0,0.71,1,0
11,1.0,0,0,0,0.934,0,0
9,1.0,0,1,0,0.516,1,0
22,0.9375,5,0,0,0.705,1,0
16,0.8277,0,1,0,0.802,0,0
19,0.9474,3,0,1,1.14,1,1
19,0.9474,8,1,4,2.163,0,1
23,0.9375,5,1,0,1.569,0,0
