domain_length,digit_count,hyphen_count,known_brand_similarity,tld_risk_score,label
39,11,4,0.8234,0.9,1
5,1,1,0.0614,0.1,0
26,0,2,0.3226,0.85,1
6,1,1,0.229,0.1,0
10,2,0,0.3128,0.15,0
7,0,1,0.2,0.15,0
14,0,1,0.1536,0.1,0
11,0,1,0.3637,0.1,0
23,12,4,0.784,0.9,1
7,0,1,0.2841,0.1,0
15,0,0,0.1837,0.1,0
15,2,1,0.399,0.15,0
8,0,0,0.6667,0.2,1
33,3,2,0.7974,0.8,1
12,1,0,0.1186,0.15,0
33,6,3,0.7975,0.9,1
29,5,2,0.8206,0.85,1
37,3,4,0.8595,0.85,1
28,4,2,0.5962,0.85,1
30,4,1,0.5275,0.85,1
27,10,3,0.7143,0.9,1
5,2,0,0.1628,0.1,0
10,0,1,0.0273,0.1,0
36,5,1,0.7466,0.85,1
12,1,1,0.1989,0.1,0
24,0,2,0.3448,0.85,1
39,11,4,0.8296,0.85,1
6,1,1,0.3112,0.1,0
21,12,4,0.7066,0.8,1
13,2,1,0.2338,0.1,0
11,1,0,0.0808,0.1,0
12,0,0,0.1046,0.1,0
21,11,1,0.6395,0.9,1
14,2,0,0.3517,0.15,0
5,1,1,0.0862,0.15,0
29,10,4,0.577,0.85,1
8,1,1,0.0631,0.15,0
6,0,1,0.2502,0.1,0
18,5,5,0.6989,0.85,1
20,8,4,0.8437,0.9,1
8,2,0,0.2857,0.15,0
14,0,0,0.2644,0.15,0
10,1,0,0.3048,0.15,0
13,0,0,0.1929,0.1,0
8,0,1,0.3079,0.1,0
7,1,1,0.0368,0.1,0
11,0,0,0.0431,0.15,0
20,3,5,0.9038,0.85,1
32,11,3,0.7011,0.8,1
13,1,1,0.0927,0.1,0
15,0,1,0.3333,0.5,1
15,0,1,0.2978,0.1,0
15,0,0,0.3029,0.1,0
10,1,1,0.3721,0.1,0
12,0,0,0.0195,0.1,0
21,9,5,0.5147,0.9,1
5,0,0,0.0978,0.1,0
7,1,1,0.0736,0.15,0
21,11,5,0.5078,0.9,1
6,0,1,0.2555,0.1,0
7,1,1,0.1196,0.15,0
6,1,0,0.3815,0.1,0
21,7,1,0.6485,0.85,1
10,2,1,0.046,0.1,0
28,10,3,0.6113,0.8,1
39,6,2,0.6382,0.85,1
13,2,1,0.1904,0.1,0
29,6,1,0.9137,0.85,1
39,7,4,0.5749,0.85,1
36,5,4,0.7501,0.8,1
5,2,0,0.3304,0.15,0
12,2,1,0.0608,0.1,0
13,1,0,0.0455,0.1,0
27,4,1,0.5912,0.9,1
14,1,0,0.0316,0.1,0
13,2,1,0.0898,0.1,0
17,6,5,0.6331,0.8,1
11,2,0,0.1393,0.1,0
28,8,3,0.905,0.9,1
11,1,1,0.3526,0.1,0
9,1,1,0.0922,0.15,0
12,2,0,0.3906,0.1,0
21,5,1,0.8362,0.85,1
7,2,0,0.2096,0.1,0
12,2,1,0.3986,0.15,0
29,3,2,0.7551,0.85,1
5,1,1,0.1158,0.1,0
39,11,1,0.9479,0.85,1
28,8,2,0.9243,0.85,1
9,2,0,0.3706,0.1,0
31,5,1,0.6672,0.85,1
27,12,3,0.674,0.85,1
15,0,1,0.3941,0.1,0
23,12,4,0.775,0.85,1
8,2,0,0.2536,0.15,0
6,0,0,0.3409,0.1,0
29,4,5,0.6752,0.85,1
34,3,3,0.7408,0.85,1
6,2,0,0.107,0.1,0
17,11,4,0.7082,0.85,1
19,12,4,0.5219,0.85,1
5,2,0,0.2079,0.1,0
16,3,2,0.589,0.9,1
23,10,1,0.6679,0.85,1
40,12,3,0.8924,0.9,1
7,2,0,0.2396,0.1,0
11,2,0,0.1358,0.15,0
40,5,4,0.7239,0.9,1
30,9,4,0.8798,0.85,1
19,5,1,0.7353,0.9,1
13,0,1,0.1041,0.1,0
40,10,1,0.8109,0.9,1
14,2,1,0.3444,0.15,0
26,7,3,0.8001,0.9,1
8,1,0,0.0199,0.15,0
19,10,4,0.9387,0.9,1
5,2,1,0.3676,0.15,0
11,0,0,0.1521,0.15,0
38,8,3,0.609,0.85,1
29,9,4,0.5667,0.85,1
14,1,0,0.2937,0.15,0
13,0,0,0.1307,0.1,0
13,0,0,0.0846,0.15,0
22,6,3,0.7666,0.85,1
37,4,1,0.565,0.9,1
10,2,1,0.0953,0.1,0
8,0,0,0.3161,0.1,0
11,2,1,0.0195,0.1,0
6,2,1,0.1391,0.1,0
22,7,5,0.87,0.85,1
9,0,0,0.3366,0.15,0
24,0,2,0.5455,0.9,1
28,8,2,0.5461,0.9,1
13,1,0,0.2076,0.15,0
15,2,1,0.0955,0.1,0
34,6,3,0.5491,0.8,1
37,9,2,0.5597,0.85,1
19,0,2,0.3077,0.9,1
33,8,4,0.5321,0.8,1
13,1,0,0.0644,0.1,0
15,0,0,0.2138,0.1,0
9,2,1,0.3091,0.15,0
5,2,0,0.135,0.1,0
16,6,5,0.9273,0.85,1
6,1,0,0.1581,0.1,0
13,2,1,0.2464,0.15,0
19,5,3,0.7256,0.85,1
9,0,1,0.3192,0.15,0
9,1,1,0.3117,0.15,0
5,2,1,0.0812,0.1,0
34,5,4,0.503,0.85,1
9,0,1,0.2057,0.15,0
10,0,0,0.1993,0.15,0
38,12,4,0.9284,0.85,1
39,9,1,0.843,0.8,1
14,1,1,0.3457,0.15,0
9,1,0,0.1882,0.15,0
38,10,2,0.765,0.8,1
39,9,1,0.8401,0.85,1
9,0,0,0.3407,0.1,0
15,1,0,0.2815,0.15,0
11,0,0,0.3687,0.1,0
10,2,1,0.2838,0.15,0
19,6,1,0.7869,0.85,1
9,1,1,0.318,0.1,0
35,7,3,0.8903,0.9,1
5,1,1,0.2798,0.1,0
23,7,1,0.9213,0.9,1
23,0,2,0.2963,0.9,1
6,0,0,0.2237,0.1,0
31,9,3,0.8299,0.9,1
32,12,4,0.8069,0.85,1
14,1,1,0.3741,0.1,0
33,12,5,0.578,0.85,1
40,7,3,0.8194,0.85,1
5,1,1,0.1244,0.1,0
5,0,1,0.3938,0.1,0
15,1,1,0.1482,0.1,0
29,3,2,0.8823,0.9,1
27,10,3,0.652,0.8,1
20,7,3,0.687,0.8,1
28,10,2,0.5241,0.85,1
9,2,0,0.1026,0.15,0
16,11,4,0.8689,0.9,1
13,2,0,0.1094,0.15,0
19,7,5,0.7805,0.85,1
36,9,5,0.6772,0.85,1
22,0,2,0.3077,0.5,1
13,2,1,0.2907,0.15,0
32,12,5,0.6691,0.8,1
29,10,1,0.5702,0.9,1
33,12,1,0.9481,0.8,1
9,0,0,0.2424,0.15,0
13,2,0,0.1953,0.1,0
36,3,1,0.7902,0.85,1
5,1,1,0.2821,0.1,0
12,2,0,0.3473,0.1,0
6,0,1,0.3378,0.1,0
37,4,5,0.7064,0.85,1
30,9,4,0.5767,0.85,1
5,2,1,0.3924,0.1,0
29,10,2,0.8406,0.85,1
35,7,3,0.8394,0.85,1
32,9,2,0.9108,0.8,1
5,2,1,0.2116,0.15,0
18,7,5,0.7251,0.9,1
28,3,3,0.6912,0.85,1
26,0,2,0.2667,0.2,1
25,0,2,0.3333,0.5,1
17,5,2,0.6539,0.9,1
12,0,0,0.084,0.15,0
14,0,0,0.15,0.15,0
14,0,0,0.0457,0.15,0
10,1,0,0.0716,0.1,0
33,11,3,0.7355,0.8,1
20,8,2,0.7248,0.8,1
15,0,2,0.4211,0.5,1
35,12,4,0.6695,0.8,1
20,3,2,0.7856,0.9,1
28,5,4,0.9081,0.9,1
15,2,0,0.3111,0.15,0
15,0,1,0.2857,0.85,1
33,7,4,0.8209,0.85,1
13,2,1,0.1999,0.1,0
32,9,3,0.6369,0.9,1
37,6,4,0.593,0.85,1
40,4,3,0.8551,0.85,1
21,5,1,0.5187,0.85,1
24,11,5,0.6101,0.85,1
13,0,0,0.1767,0.1,0
27,11,2,0.6703,0.85,1
15,2,0,0.3742,0.15,0
8,1,0,0.2404,0.1,0
33,6,5,0.8457,0.85,1
10,2,1,0.2747,0.15,0
5,1,1,0.0477,0.1,0
26,8,4,0.6704,0.85,1
33,12,4,0.8289,0.8,1
5,1,1,0.2351,0.1,0
7,1,0,0.0201,0.1,0
40,12,5,0.9454,0.9,1
25,6,5,0.7605,0.85,1
8,2,0,0.3456,0.1,0
36,3,1,0.6363,0.8,1
7,0,1,0.3163,0.15,0
23,10,5,0.8024,0.85,1
23,6,5,0.704,0.9,1
14,0,0,0.3479,0.15,0
9,0,0,0.1194,0.15,0
19,6,3,0.7136,0.85,1
34,3,1,0.9261,0.85,1
40,4,5,0.7877,0.85,1
8,0,1,0.2868,0.1,0
25,11,4,0.5463,0.85,1
6,0,0,0.2301,0.1,0
6,2,1,0.0061,0.1,0
16,8,5,0.7147,0.9,1
30,10,4,0.5985,0.8,1
5,2,1,0.0869,0.1,0
5,2,1,0.1908,0.1,0
32,8,3,0.5637,0.85,1
15,0,0,0.0176,0.15,0
28,3,3,0.8551,0.85,1
13,2,0,0.0377,0.1,0
5,1,1,0.0779,0.1,0
30,6,1,0.5029,0.8,1
24,8,3,0.7607,0.8,1
11,2,1,0.3867,0.1,0
27,12,2,0.5093,0.85,1
9,0,0,0.2463,0.15,0
6,1,1,0.3756,0.1,0
24,11,5,0.746,0.85,1
15,0,1,0.0561,0.1,0
32,7,2,0.632,0.8,1
12,1,1,0.3449,0.1,0
5,0,0,0.0614,0.1,0
5,0,1,0.3287,0.1,0
9,1,1,0.3097,0.1,0
8,0,1,0.0697,0.1,0
28,9,1,0.7736,0.8,1
10,0,1,0.3463,0.1,0
24,10,5,0.6582,0.85,1
10,2,0,0.1736,0.1,0
11,1,1,0.2543,0.1,0
13,0,1,0.1008,0.15,0
6,0,0,0.27,0.1,0
39,3,2,0.6589,0.8,1
35,8,5,0.57,0.85,1
14,1,0,0.2498,0.1,0
5,1,0,0.3953,0.1,0
11,2,1,0.1085,0.1,0
9,1,1,0.3015,0.1,0
17,11,5,0.6442,0.85,1
12,1,0,0.0021,0.15,0
19,11,5,0.7698,0.85,1
5,2,0,0.0632,0.1,0
29,9,4,0.6654,0.8,1
40,5,1,0.9136,0.8,1
15,0,0,0.0059,0.1,0
22,10,1,0.5031,0.85,1
6,0,0,0.9091,0.9,1
15,0,1,0.1467,0.15,0
23,4,3,0.5395,0.85,1
18,3,4,0.7284,0.85,1
23,12,3,0.8778,0.8,1
7,0,0,0.0339,0.1,0
7,1,0,0.0212,0.1,0
14,0,1,0.1093,0.15,0
17,7,1,0.67,0.85,1
15,2,1,0.2499,0.1,0
36,8,4,0.5666,0.8,1
